frame,gt_roll,gt_pitch,gt_yaw,est_roll,est_pitch,est_yaw,roll_error,pitch_error,yaw_error,rotation_error,translation_dir_error
15,-0.140776,-0.25732,179.965439,-0.14604889244068966,-0.6300606109019781,178.80411526035343,0.005272892440700616,0.3727406109019853,1.1613237396465763,1.4610379893687842,0.0
30,-0.140776,-0.25732,179.965439,-0.14714796446185857,-0.8055234071293624,179.29330010760862,0.0063719644618629445,0.548203407129364,0.6721388923913878,1.257156475443143,163.80680468240038
45,-0.140776,-0.25732,179.965439,-0.24507949037189228,0.05177877029628871,-179.4366322051639,0.10430349037190467,0.30909877029628774,0.5979287948360934,0.6415286389292972,171.22251707252997
60,-0.140776,-0.25732,179.965439,0.027905497062447687,-0.9416882661911353,-178.5533089267605,0.16868149706243685,0.684368266191143,1.4812520732394887,1.9124602359569165,160.18151816989868
75,-0.140776,-0.25732,179.965439,-0.06706285833952073,-0.9688946623190761,-178.4422729592167,0.07371314166047682,0.711574662319066,1.5922880407832736,2.0111175865063133,160.62836750942674
90,-0.140776,-0.25732,179.965439,-0.2634895475429777,0.585516022002498,178.61562999819643,0.12271354754298613,0.8428360220025013,1.3498090018035782,1.3943413045304793,169.79896007738537
105,-0.140776,-0.25732,179.965439,-0.15500117128549884,-0.1872814562286083,-179.96100352060654,0.014225171285488614,0.07003854377140328,0.07355747939345747,0.4508892807419778,177.53038616903865
120,-0.140776,-0.25732,179.965439,-0.2958117230967515,0.1935151694538413,178.91900347629468,0.15503572309674496,0.45083516945385327,1.0464355237053269,1.059051195725681,174.83376693718446
135,-0.140776,-0.25732,179.965439,-0.3475793966639836,0.4140199461396582,178.08824571633772,0.20680339666398595,0.6713399461396534,1.8771932836622796,1.8947153982351923,172.26288728904464
150,-0.140776,-0.25732,179.965439,-0.4049038165811463,2.0311989263189645,179.83661420182568,0.26412781658115136,2.2885189263189716,0.12882479817432113,1.798515550381138,171.42957279876885
165,-0.15405,-0.2496,-177.034542,0.13019208882892458,4.831432881326352,179.46098267625436,0.28424208882893254,5.081032881326365,3.5044753237456234,5.773016391514822,162.57305763135903
180,-0.213402,-0.201224,-162.034503,-0.2460084286877836,0.21197656092596576,-161.88185238891666,0.03260642868778518,0.4132005609259579,0.1526506110833452,0.16723165137951204,
195,-0.265139,-0.125431,-144.034587,-0.2715130470474521,0.20091770879000223,-147.07512548052017,0.0063740470474442645,0.3263487087899932,3.0405384805201834,3.040884165225738,
210,-0.288568,-0.052534,-129.034745,-3.477246628275775,3.719489408473855,-113.92443596818593,3.188678628275767,3.772023408473842,15.11030903181404,15.535333591499185,
225,-0.290678,0.039209,-111.034977,-0.4678982174337404,0.4186001261459399,-110.96105917900978,0.17722021743372807,0.37939112614594706,0.07391782099023203,0.19228779204545307,
240,-0.270626,0.113106,-96.035145,-0.6736638910937259,0.655877867171101,-95.8631582789462,0.40303789109373156,0.5427718671710977,0.17198672105379842,0.43870190198547937,
255,-0.249601,0.154048,-87.035213,-0.5237645941229722,0.5488815444876913,-87.00510018986337,0.2741635941229674,0.3948335444876818,0.03011281013664302,0.43845408356287763,85.68305439736719
270,-0.249601,0.154048,-87.035213,-0.11553020455870139,0.11353816386585171,-87.01470447826469,0.1340707954412892,0.0405098361341345,0.020508521735308705,0.2328564456624222,88.07937168245626
285,-0.249601,0.154048,-87.035213,-0.09079965885720086,0.0905799261569058,-87.21569477901073,0.15880134114280509,0.06346807384309727,0.1804817790107336,0.2869076620421615,86.3095948642157
300,-0.249601,0.154048,-87.035213,-0.3701107934474304,0.41041854315520704,-87.11005300384068,0.1205097934474395,0.2563705431552137,0.07484000384067713,0.6718621739188566,85.65342940297522
