frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
63,000063.png,-1.639292,-0.916770,3.323316,-26.256,13.896,0.000,-26.256,15.422,0.189
64,000064.png,-1.628988,-0.919093,3.331997,-26.054,13.918,0.000,-26.054,15.421,0.159
65,000065.png,-1.636213,-0.932623,3.375176,-25.863,13.963,0.000,-25.863,15.446,0.162
66,000066.png,-1.621576,-0.929826,3.376012,-25.656,13.943,0.000,-25.656,15.399,0.159
67,000067.png,-1.589088,-0.918822,3.338581,-25.453,13.955,0.000,-25.453,15.388,0.060
68,000068.png,-1.570641,-0.918452,3.337270,-25.203,13.983,0.000,-25.203,15.387,0.054
69,000069.png,-1.577241,-0.933349,3.389917,-24.951,14.016,0.000,-24.951,15.394,0.112
70,000070.png,-1.576916,-0.942080,3.426246,-24.714,14.024,0.000,-24.714,15.374,0.193
71,000071.png,-1.531202,-0.928621,3.376052,-24.397,14.063,0.000,-24.397,15.380,0.144
72,000072.png,-1.512037,-0.927963,3.373625,-24.142,14.090,0.000,-24.142,15.380,0.146
73,000073.png,-1.509611,-0.939174,3.415178,-23.847,14.118,0.000,-23.847,15.376,0.127
74,000074.png,-1.491417,-0.939231,3.415391,-23.590,14.145,0.000,-23.590,15.376,0.130
75,000075.png,-1.471974,-0.937693,3.418271,-23.298,14.141,0.000,-23.298,15.340,0.030
76,000076.png,-1.453367,-0.935085,3.416051,-23.047,14.138,0.000,-23.047,15.309,0.444
77,000077.png,-1.433520,-0.934086,3.412341,-22.787,14.164,0.000,-22.787,15.309,0.447
78,000078.png,-1.425308,-0.938421,3.435784,-22.531,14.159,0.000,-22.531,15.277,0.146
79,000079.png,-1.401341,-0.935903,3.418850,-22.288,14.214,0.000,-22.288,15.310,0.139
80,000080.png,-1.381432,-0.933009,3.414801,-22.025,14.213,0.000,-22.025,15.282,0.144
81,000081.png,-1.373583,-0.939077,3.442118,-21.755,14.219,0.000,-21.755,15.260,0.087
82,000082.png,-1.361672,-0.940044,3.459665,-21.484,14.189,0.000,-21.484,15.201,0.308
83,000083.png,-1.343631,-0.941265,3.464107,-21.200,14.216,0.000,-21.200,15.201,0.075
84,000084.png,-1.309242,-0.926346,3.412589,-20.989,14.222,0.000,-20.989,15.187,0.190
85,000085.png,-1.307317,-0.934745,3.457853,-20.710,14.190,0.000,-20.710,15.127,0.203
86,000086.png,-1.287396,-0.933679,3.453965,-20.442,14.214,0.000,-20.442,15.127,0.198
87,000087.png,-1.280696,-0.941497,3.486729,-20.169,14.223,0.000,-20.169,15.111,0.103
88,000088.png,-1.274358,-0.948663,3.517972,-19.913,14.227,0.000,-19.913,15.092,0.191
89,000089.png,-1.239168,-0.937571,3.483504,-19.582,14.229,0.000,-19.582,15.064,0.123
90,000090.png,-1.217792,-0.936648,3.480443,-19.285,14.253,0.000,-19.285,15.062,0.140
91,000091.png,-1.215782,-0.946404,3.521212,-19.048,14.255,0.000,-19.048,15.044,0.192
92,000092.png,-1.196904,-0.946381,3.521165,-18.774,14.277,0.000,-18.774,15.044,0.193
93,000093.png,-1.183408,-0.945466,3.519612,-18.584,14.285,0.000,-18.584,15.036,0.186
