frame,gt_roll,gt_pitch,gt_yaw,est_roll,est_pitch,est_yaw,roll_error,pitch_error,yaw_error,rotation_error,translation_dir_error
5,0.0,0.0,-75.27,174.52442942522953,12.776631237944,-119.99045742572541,174.52442942522953,12.776631237944002,44.720457425725414,179.8144878385345,0.0
10,0.0,0.0,-75.4,-0.3195163616080001,-0.24236393664603448,-75.36366650519608,0.31951636160800945,0.2423639366460293,0.03633349480392667,0.40261872919019853,106.70077030652966
15,0.0,0.0,-75.39,-179.41965957094766,2.3497628825385823,-33.170047998836,179.41965957094766,2.3497628825385846,42.21995200116402,179.69505911618577,105.18638981510973
20,0.0,0.0,-75.12,131.50321868539322,28.458256125937734,163.3289453516075,131.50321868539322,28.458256125937737,121.5510546483925,179.8595865539961,74.10836800668636
25,0.0,0.0,-74.94,-0.06260567431431749,-1.2781942434134026,-75.00803810317787,0.06260567431431241,1.2781942434133953,0.06803810317785519,1.2815708518544398,147.38381403906146
30,0.0,0.0,-74.33,-0.016523139204810765,-0.5340982579201495,-74.84058803548025,0.01652313920482129,0.5340982579201636,0.5105880354802537,0.7391284441318401,144.67238605241212
35,0.0,0.0,-73.57,-0.2707864964262358,0.3930085458145958,-74.3055224972169,0.27078649642623986,0.39300854581460953,0.7355224972168912,0.8760164437045157,63.03483505958437
40,0.0,0.0,-72.74,-0.11072923535618674,-0.3516824875813338,-73.53960973970074,0.11072923535618884,0.3516824875813427,0.7996097397007418,0.8808282963769604,146.51379328777247
45,0.0,0.0,-71.9,-0.20767977366776838,0.3409519859789048,-72.72612156275031,0.20767977366776336,0.3409519859789043,0.826121562750302,0.9169689924253724,103.87634751106015
50,0.0,0.0,-71.08,-0.15413411069138014,0.21942639568145209,-71.88306390172649,0.1541341106913876,0.21942639568143818,0.8030639017264889,0.8463696894022344,106.71478733057607
55,0.0,0.0,-70.3,-168.75178556437203,28.94298492789193,-29.093756421139684,168.75178556437203,28.942984927891928,41.206243578860324,179.85000911944863,164.9473275631252
60,0.0,0.0,-69.54,-0.0820278877160355,-0.21849330666728045,-70.32686085767807,0.08202788771603764,0.21849330666728406,0.7868608576780503,0.8208916983667874,117.63280082118987
65,0.0,0.0,-68.75,-0.08307105465273158,-0.4079880505583822,-69.56594035489358,0.08307105465272002,0.40798805055837306,0.8159403548935984,0.9162932958823615,132.95792681123925
70,0.0,0.0,-67.89,-0.03208462049605927,-0.4140062919407317,-68.82558917204611,0.03208462049605032,0.4140062919407228,0.9355891720460932,1.0237044490506546,50.221493286894614
75,0.0,0.0,-66.95,-0.02500237076369003,-0.37752122339263583,-68.03709765602574,0.025002370763701265,0.37752122339264815,1.087097656025719,1.151131399368191,113.10685068373816
80,0.0,0.0,-65.96,-0.052532289512207266,-0.4356064986559032,-67.16172009057772,0.05253228951221445,0.4356064986559147,1.2017200905777372,1.2794986223073646,110.77807457874036
85,0.0,0.0,-64.91,0.01720823197556054,-0.6584839906089742,-66.19344881308237,0.017208231975558874,0.6584839906089712,1.283448813082373,1.4425207698275975,119.7434623170939
90,0.0,0.0,-63.79,-0.09835516107852112,-0.8273230612173422,-65.19819170691997,0.09835516107852982,0.8273230612173563,1.408191706919979,1.6367974441590436,67.46676213219257
95,0.0,0.0,-62.39,-0.018695652813779978,-0.8523986469919329,-64.05982082064503,0.01869565281378982,0.8523986469919294,1.6698208206450431,1.875006009315632,112.87476133336114
100,0.0,0.0,-60.29,0.0684101949122152,-0.9650115048711941,-62.58780192933406,0.068410194912218,0.9650115048711996,2.297801929334071,2.4925985969119906,105.34311798680241
105,0.0,0.0,-56.95,-0.0015729600567443852,-1.2127473582297505,-60.55257234397404,0.0015729600567340185,1.2127473582297625,3.602572343974032,3.801173697555734,99.74782995894634
110,0.0,0.0,-51.99,-0.45524038647195203,-1.3731948011750565,-57.80909568504432,0.4552403864719565,1.3731948011750603,5.819095685044317,6.0013717767150405,78.1998382918438
115,0.0,0.0,-45.51,0.09540384526730307,-2.619930267458247,-52.36535749413205,0.09540384526729895,2.619930267458244,6.8553574941320505,7.33695803458584,97.91285272429215
120,0.0,0.0,-38.09,0.2870834120143949,-3.4454344180013092,-45.8568434024547,0.2870834120143968,3.445434418001298,7.766843402454697,8.492636386512471,104.33843547823119
155,0.0,0.0,-29.25,-0.26879089492958336,-14.789500661679464,-40.89453112195503,0.2687908949295945,14.789500661679455,11.644531121955026,18.82683504059105,78.60164492434517
165,0.0,0.0,-20.16,-0.36888453380006164,-5.36847535030174,-29.457347394854832,0.36888453380007036,5.368475350301736,9.297347394854825,10.754298984798277,67.97061526603133
170,0.0,0.0,-16.92,0.08967510581831728,-1.6734621544945198,-20.205354997241322,0.08967510581831561,1.6734621544945298,3.2853549972413134,3.686827850176852,51.86221457478895
175,0.0,0.0,-15.66,-0.035129236523838994,-2.8340970231932996,-17.023558077923678,0.03512923652382938,2.8340970231932943,1.3635580779236705,3.145571583146894,28.468420782647044
180,0.0,0.0,-15.32,-0.0702086873101065,-1.033345133121507,-15.680530418457584,0.07020868731009955,1.0333451331215144,0.3605304184575857,1.096889442410591,90.61802369011154
185,0.0,0.0,-15.35,1.1728810354642851,-3.517999957784723,-15.498273727122635,1.172881035464286,3.517999957784724,0.14827372712264264,3.7098302920713735,47.52596192669663
195,0.0,0.0,-15.73,-0.05179472909545094,-2.155584144552771,-15.273356899894408,0.051794729095462344,2.155584144552762,0.4566431001055946,2.203822557926232,115.12590449239154
200,0.0,0.0,-15.69,0.049103100618151235,-1.0234151190347547,-15.64729975414424,0.04910310061814016,1.0234151190347518,0.04270024585576948,1.0255000097992455,122.7156119404345
205,0.0,0.0,-15.11,-0.1620718032928305,-1.288168072937157,-15.72073692637357,0.16207180329283233,1.288168072937168,0.610736926373562,1.4355668557675225,113.9299782935904
210,0.0,0.0,-13.86,-0.1259060633996425,-1.101434296443644,-15.18557964042386,0.12590606339963983,1.1014342964436423,1.3255796404238538,1.7289662575152855,103.60312624662161
215,0.0,0.0,-11.87,-0.22501710449809448,-1.2076604829470896,-13.968712569576416,0.2250171044981073,1.207660482947091,2.0987125695764064,2.4338147469289835,77.6892847910958
220,0.0,0.0,-9.17,-0.40696949499605656,-1.378203454004125,-12.044394281492298,0.40696949499604784,1.3782034540041366,2.8743942814923003,3.2179043908951392,64.22964365425602
230,0.0,0.0,-5.24,-0.6937726886943161,-4.945298412212607,-9.2294166388324,0.6937726886943096,4.945298412212594,3.9894166388324095,6.409466110380403,43.50429759381307
240,0.0,0.0,-2.38,-0.1478884660716162,-3.54234185539514,-5.63882704679521,0.14788846607160622,3.5423418553951365,3.2588270467952043,4.818341089528399,74.45569735106359
255,0.0,0.0,-1.66,2.5009397681878704,-14.485568762795275,-4.256137927106429,2.5009397681878625,14.485568762795282,2.59613792710644,14.86991869082134,21.689998796138678
260,0.0,0.0,1.88,0.013707715075927057,-2.3921840505164815,-1.8845822909170242,0.013707715075923943,2.3921840505164766,3.7645822909170192,4.459887745654696,79.69912892783886
265,0.0,0.0,5.19,0.16717626342436215,-2.3809117470062113,1.6909245951106584,0.1671762634243521,2.3809117470062233,3.4990754048893393,4.2325092640952615,86.67546860859629
270,0.0,0.0,8.17,0.16082465180851332,-1.8571998205782145,5.16225823837433,0.16082465180852523,1.8571998205782165,3.007741761625681,3.536253175148439,112.71232855977584
275,0.0,0.0,10.88,0.009968547750672175,-2.7548696087390567,7.883368556128592,0.009968547750673906,2.7548696087390567,2.996631443871422,4.070139982431365,98.3984981372381
280,0.0,0.0,13.43,0.15609165958742593,-3.4322814134426505,10.520076040258221,0.15609165958741755,3.432281413442638,2.909923959741775,4.49920250595074,86.64858998865502
285,0.0,0.0,15.98,0.3190019344914528,-2.5683446746029146,13.23863477881075,0.319001934491439,2.568344674602912,2.7413652211892554,3.76467057313046,125.51968148627367
290,0.0,0.0,18.59,0.2469931607805911,-1.5522142866395043,16.05905925397707,0.24699316078059042,1.5522142866394972,2.530940746022935,2.9763559949119283,150.4885135354684
295,0.0,0.0,21.29,0.017217677411381572,-1.528213464226787,18.66422442495621,0.017217677411395016,1.5282134642267806,2.6257755750438037,3.037896562222936,145.38779121316597
300,0.0,0.0,24.11,0.02953238946922228,-1.8331609315505353,21.267730470075133,0.02953238946921033,1.8331609315505375,2.842269529924863,3.381785358527819,145.24865394283566
305,0.0,0.0,27.04,-0.00773103266877175,-1.954995116043122,23.970376945794936,0.007731032668772286,1.9549951160431078,3.069623054205067,3.639305818310105,137.55114196341196
310,0.0,0.0,30.11,0.17756918900403543,-2.6306234533226727,28.393105210318346,0.17756918900403207,2.63062345332267,1.7168947896816462,3.144028490244313,128.73359920094953
325,0.0,0.0,34.8,-0.37165386263339395,-5.511131761597002,31.37020668437366,0.3716538626333943,5.5111317615969995,3.429793315626341,6.510573899302896,103.27089680305859
330,0.0,0.0,38.68,-0.20998848635466152,-2.2128517456877725,35.97356889170353,0.2099884863546606,2.2128517456877717,2.7064311082964707,3.50522503044686,100.922766999549
335,0.0,0.0,43.23,-0.12181202778137117,-2.2651256760797787,38.49434127681012,0.1218120277813739,2.2651256760797764,4.735658723189886,5.252805904824666,85.39028541298536
340,0.0,0.0,48.51,0.07312127053418073,-2.4300912731462674,42.81377785848459,0.07312127053418749,2.4300912731462745,5.69622214151542,6.191534638006131,77.15116615932787
345,0.0,0.0,54.29,0.08337550612466188,-0.7783059784284728,49.84960037928626,0.08337550612466771,0.7783059784284774,4.440399620713748,4.5082729038714024,123.8109974137523
350,0.0,0.0,60.11,-3.155763998503274,4.954549671251681,54.24777361727284,3.155763998503261,4.9545496712516695,5.862226382727158,8.199760514700305,149.89461834915784
355,0.0,0.0,64.46,-0.009797580933128743,-2.8074696082144874,59.99513667371078,0.009797580933138761,2.8074696082144897,4.464863326289219,5.27400610256764,56.64099653685754
360,0.0,0.0,69.11,0.07580421390431775,-2.1875880226789306,64.50891981828136,0.0758042139043198,2.1875880226789377,4.6010801817186575,5.0936562452849055,90.36045512268986
