frame,gt_roll,gt_pitch,gt_yaw,est_roll,est_pitch,est_yaw,roll_error,pitch_error,yaw_error,rotation_error
5,-32.368,4.085,178.443,-13.802479098945332,-10.31069781100318,175.48113830865125,18.56552090105467,14.395697811003181,2.9618616913487585,20.42170436708752
10,-12.78,-6.496,-177.81,-31.43200582156383,-1.6959936477980637,-178.24927697358282,18.652005821563833,4.800006352201937,0.43927697358282103,20.712666770253517
15,-30.187,10.472,176.451,-12.126697905454995,6.043522480753439,-178.2262181663977,18.06030209454501,4.42847751924656,5.322781833602335,24.74649783224315
20,-27.793,1.922,-178.714,-30.225035773877636,-11.121832333400087,-178.09458568330024,2.4320357738776366,13.043832333400088,0.6194143166997605,10.268453519589638
25,-25.977,-6.945,-175.661,-29.44875399911275,-0.7611253016337106,179.8358059044823,3.4717539991127495,6.18387469836629,4.503194095517699,9.699208578238554
30,-22.947,-4.318,-178.429,-26.72701548614159,8.231484086524144,178.36240193739954,3.7800154861415898,12.549484086524144,3.2085980626004584,5.289543109893181
35,-18.797,20.035,175.923,-20.9130886317273,8.784011618637075,-173.11129002379107,2.116088631727301,11.250988381362925,10.965709976208927,29.320375366556565
40,-20.481,13.722,176.136,-22.96508635023424,-19.645573397688885,178.29432354314042,2.4840863502342394,33.367573397688886,2.158323543140426,6.390514343602467
45,-22.903,13.626,177.754,-16.919621966616447,-10.457934891670929,-174.03547972773003,5.983378033383552,24.08393489167093,8.210520272269946,7.007119327514675
