   frame             x             y             z          roll         pitch           yaw
      85     -0.001287     -0.009581      2.133311     -0.140776     -0.257320    179.965439
      86     -0.001287     -0.009581      2.133311     -0.140776     -0.257320    179.965439
      87     -0.001327     -0.009880      2.199977     -0.140776     -0.257320    179.965439
      88     -0.001327     -0.009880      2.199977     -0.140776     -0.257320    179.965439
      89     -0.001367     -0.010180      2.266643     -0.140776     -0.257320    179.965439
      90     -0.001367     -0.010180      2.266643     -0.140776     -0.257320    179.965439
      91     -0.001367     -0.010180      2.266643     -0.140776     -0.257320    179.965439
      92     -0.001407     -0.010479      2.333309     -0.140776     -0.257320    179.965439
      93     -0.001407     -0.010479      2.333309     -0.140776     -0.257320    179.965439
      94     -0.001448     -0.010779      2.399975     -0.140776     -0.257320    179.965439
      95     -0.001448     -0.010779      2.399975     -0.140776     -0.257320    179.965439
      96     -0.001488     -0.011078      2.466641     -0.140776     -0.257320    179.965439
      97     -0.001488     -0.011078      2.466641     -0.140776     -0.257320    179.965439
      98     -0.001488     -0.011078      2.466641     -0.140776     -0.257320    179.965439
      99     -0.001528     -0.011377      2.533307     -0.140776     -0.257320    179.965439
     100     -0.001528     -0.011377      2.533307     -0.140776     -0.257320    179.965439
     101     -0.001528     -0.011377      2.533307     -0.140776     -0.257320    179.965439
     102     -0.001568     -0.011677      2.599973     -0.140776     -0.257320    179.965439
     103     -0.001568     -0.011677      2.599973     -0.140776     -0.257320    179.965439
     104     -0.001609     -0.011976      2.666639     -0.140776     -0.257320    179.965439
     105     -0.001609     -0.011976      2.666639     -0.140776     -0.257320    179.965439
     106     -0.001609     -0.011976      2.666639     -0.140776     -0.257320    179.965439
     107     -0.001649     -0.012276      2.733305     -0.140776     -0.257320    179.965439
     108     -0.001649     -0.012276      2.733305     -0.140776     -0.257320    179.965439
     109     -0.001689     -0.012575      2.799971     -0.140776     -0.257320    179.965439
     110     -0.001689     -0.012575      2.799971     -0.140776     -0.257320    179.965439
     111     -0.001689     -0.012575      2.799971     -0.140776     -0.257320    179.965439
     112     -0.001729     -0.012874      2.866637     -0.140776     -0.257320    179.965439
     113     -0.001729     -0.012874      2.866637     -0.140776     -0.257320    179.965439
     114     -0.001769     -0.013174      2.933303     -0.140776     -0.257320    179.965439
     115     -0.001769     -0.013174      2.933303     -0.140776     -0.257320    179.965439
     116     -0.001769     -0.013174      2.933303     -0.140776     -0.257320    179.965439
     117     -0.001810     -0.013473      2.999969     -0.140776     -0.257320    179.965439
     118     -0.001810     -0.013473      2.999969     -0.140776     -0.257320    179.965439
     119     -0.001850     -0.013773      3.066635     -0.140776     -0.257320    179.965439
     120     -0.001850     -0.013773      3.066635     -0.140776     -0.257320    179.965439
     121     -0.001850     -0.013773      3.066635     -0.140776     -0.257320    179.965439
     122     -0.001890     -0.014072      3.133301     -0.140776     -0.257320    179.965439
     123     -0.001890     -0.014072      3.133301     -0.140776     -0.257320    179.965439
     124     -0.001930     -0.014371      3.199967     -0.140776     -0.257320    179.965439
     125     -0.001930     -0.014371      3.199967     -0.140776     -0.257320    179.965439
     126     -0.001930     -0.014371      3.199967     -0.140776     -0.257320    179.965439
     127     -0.001970     -0.014671      3.266633     -0.140776     -0.257320    179.965439
     128     -0.001970     -0.014671      3.266633     -0.140776     -0.257320    179.965439
     129     -0.002011     -0.014970      3.333299     -0.140776     -0.257320    179.965439
     130     -0.002011     -0.014970      3.333299     -0.140776     -0.257320    179.965439
     131     -0.002011     -0.014970      3.333299     -0.140776     -0.257320    179.965439
     132     -0.002051     -0.015270      3.399965     -0.140776     -0.257320    179.965439
     133     -0.002051     -0.015270      3.399965     -0.140776     -0.257320    179.965439
     134     -0.002051     -0.015270      3.399965     -0.140776     -0.257320    179.965439
     135     -0.002091     -0.015569      3.466631     -0.140776     -0.257320    179.965439
     136     -0.002091     -0.015569      3.466631     -0.140776     -0.257320    179.965439
     137     -0.002131     -0.015868      3.533297     -0.140776     -0.257320    179.965439
     138     -0.002131     -0.015868      3.533297     -0.140776     -0.257320    179.965439
     139     -0.002131     -0.015868      3.533297     -0.140776     -0.257320    179.965439
     140     -0.002172     -0.016168      3.599963     -0.140776     -0.257320    179.965439
     141     -0.002172     -0.016168      3.599963     -0.140776     -0.257320    179.965439
     142     -0.002172     -0.016168      3.599963     -0.140776     -0.257320    179.965439
     143     -0.002212     -0.016467      3.666629     -0.140776     -0.257320    179.965439
     144     -0.002212     -0.016467      3.666629     -0.140776     -0.257320    179.965439
     145     -0.002212     -0.016467      3.666629     -0.140776     -0.257320    179.965439
     146     -0.002252     -0.016767      3.733295     -0.140776     -0.257320    179.965439
     147     -0.002252     -0.016767      3.733295     -0.140776     -0.257320    179.965439
     148     -0.002292     -0.017066      3.799961     -0.140776     -0.257320    179.965439
     149     -0.002292     -0.017066      3.799961     -0.140776     -0.257320    179.965439
     150     -0.002292     -0.017066      3.799961     -0.140776     -0.257320    179.965439
     151     -0.002332     -0.017365      3.866627     -0.140776     -0.257320    179.965439
     152     -0.002332     -0.017365      3.866627     -0.140776     -0.257320    179.965439
     153     -0.002332     -0.017365      3.866627     -0.140776     -0.257320    179.965439
     154     -0.002373     -0.017665      3.933293     -0.140776     -0.257320    179.965439
     155     -0.002373     -0.017665      3.933293     -0.140776     -0.257320    179.965439
     156     -0.002373     -0.017665      3.933293     -0.140776     -0.257320    179.965439
     157     -0.002413     -0.017964      3.999959     -0.140776     -0.257320    179.965439
     158     -0.002413     -0.017964      3.999959     -0.140776     -0.257320    179.965439
     159     -0.002413     -0.017964      3.999959     -0.140776     -0.257320    179.965439
     160     -0.002453     -0.018264      4.066625     -0.140776     -0.257320    179.965439
     161     -0.002453     -0.018264      4.066625     -0.140776     -0.257320    179.965439
     162     -0.002493     -0.018563      4.133291     -0.140776     -0.257320    179.965439
     163     -0.002493     -0.018563      4.133291     -0.140776     -0.257320    179.965439
     164     -0.002493     -0.018563      4.133291     -0.140776     -0.257320    179.965439
     165     -0.002493     -0.018563      4.133291     -0.154050     -0.249600   -177.034542
