frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
63,000063.png,-0.155639,-1.324690,3.932031,-2.267,18.605,0.000,-2.267,18.619,0.091
64,000064.png,-0.153208,-1.313115,3.882163,-2.260,18.674,0.000,-2.260,18.688,0.198
65,000065.png,-0.150801,-1.303334,3.837108,-2.251,18.747,0.000,-2.251,18.761,0.137
66,000066.png,-0.150143,-1.304087,3.829027,-2.246,18.794,0.000,-2.246,18.808,0.097
67,000067.png,-0.152605,-1.312313,3.844032,-2.273,18.836,0.000,-2.273,18.849,0.136
68,000068.png,-0.147357,-1.295732,3.780569,-2.232,18.905,0.000,-2.232,18.918,0.187
69,000069.png,-0.153815,-1.304037,3.801117,-2.317,18.921,0.000,-2.317,18.935,0.073
70,000070.png,-0.155920,-1.310548,3.819887,-2.337,18.922,0.000,-2.337,18.936,0.346
71,000071.png,-0.153820,-1.310825,3.801288,-2.317,19.012,0.000,-2.317,19.026,0.071
72,000072.png,-0.153824,-1.317611,3.801451,-2.317,19.102,0.000,-2.317,19.117,0.070
73,000073.png,-0.149719,-1.295039,3.725316,-2.301,19.155,0.000,-2.301,19.169,0.140
74,000074.png,-0.152376,-1.307239,3.756914,-2.323,19.171,0.000,-2.323,19.186,0.231
75,000075.png,-0.151500,-1.304236,3.733318,-2.324,19.242,0.000,-2.324,19.257,0.124
76,000076.png,-0.155238,-1.323177,3.782713,-2.350,19.265,0.000,-2.350,19.280,0.414
77,000077.png,-0.158238,-1.311604,3.735437,-2.426,19.331,0.000,-2.426,19.347,0.124
78,000078.png,-0.164898,-1.311623,3.735470,-2.528,19.330,0.000,-2.528,19.348,0.125
79,000079.png,-0.167370,-1.289958,3.668860,-2.612,19.353,0.000,-2.612,19.371,0.178
80,000080.png,-0.174614,-1.309960,3.711007,-2.694,19.423,0.000,-2.694,19.443,0.114
81,000081.png,-0.178342,-1.298021,3.679443,-2.775,19.411,0.000,-2.775,19.432,0.058
82,000082.png,-0.191622,-1.318919,3.737292,-2.935,19.415,0.000,-2.935,19.438,0.128
83,000083.png,-0.196029,-1.282213,3.624019,-3.096,19.458,0.000,-3.096,19.484,0.180
84,000084.png,-0.208993,-1.282483,3.624816,-3.300,19.454,0.000,-3.300,19.484,0.182
85,000085.png,-0.223148,-1.282141,3.624400,-3.523,19.447,0.000,-3.523,19.481,0.169
86,000086.png,-0.236067,-1.273848,3.601625,-3.750,19.439,0.000,-3.750,19.478,0.083
87,000087.png,-0.255160,-1.301184,3.673315,-3.974,19.462,0.000,-3.974,19.505,0.388
88,000088.png,-0.262007,-1.275187,3.605339,-4.156,19.431,0.000,-4.156,19.478,0.083
89,000089.png,-0.266663,-1.253455,3.550597,-4.295,19.394,0.000,-4.295,19.444,0.448
90,000090.png,-0.280677,-1.254675,3.550290,-4.520,19.407,0.000,-4.520,19.463,0.161
91,000091.png,-0.293482,-1.255291,3.552072,-4.723,19.402,0.000,-4.723,19.463,0.162
92,000092.png,-0.308725,-1.253914,3.554825,-4.964,19.362,0.000,-4.964,19.430,0.025
93,000093.png,-0.317193,-1.245593,3.521026,-5.148,19.409,0.000,-5.148,19.482,0.163
94,000094.png,-0.331041,-1.258292,3.561625,-5.310,19.381,0.000,-5.310,19.458,0.188
95,000095.png,-0.342569,-1.241280,3.509483,-5.575,19.393,0.000,-5.575,19.478,0.082
96,000096.png,-0.372009,-1.246053,3.510592,-6.049,19.441,0.000,-6.049,19.542,0.347
97,000097.png,-0.393428,-1.250202,3.516904,-6.383,19.457,0.000,-6.383,19.569,0.086
98,000098.png,-0.403315,-1.243561,3.487952,-6.596,19.503,0.000,-6.596,19.623,0.154
99,000099.png,-0.410604,-1.231823,3.451330,-6.785,19.515,0.000,-6.785,19.642,0.278
100,000100.png,-0.409951,-1.222980,3.412408,-6.850,19.587,0.000,-6.850,19.717,0.103
101,000101.png,-0.419170,-1.247340,3.475053,-6.878,19.614,0.000,-6.878,19.745,0.434
102,000102.png,-0.413835,-1.225597,3.395501,-6.949,19.712,0.000,-6.949,19.847,0.158
103,000103.png,-0.416835,-1.239269,3.426377,-6.936,19.750,0.000,-6.936,19.884,0.078
104,000104.png,-0.416835,-1.239269,3.426377,-6.936,19.750,0.000,-6.936,19.884,0.078
105,000105.png,-0.413831,-1.242432,3.426634,-6.886,19.797,0.000,-6.886,19.930,0.080
106,000106.png,-0.413831,-1.242432,3.426634,-6.886,19.797,0.000,-6.886,19.930,0.080
107,000107.png,-0.411000,-1.243267,3.428513,-6.836,19.801,0.000,-6.836,19.932,0.404
108,000108.png,-0.399993,-1.233640,3.401169,-6.707,19.810,0.000,-6.707,19.936,0.108
109,000109.png,-0.386080,-1.231513,3.405581,-6.468,19.764,0.000,-6.468,19.881,0.146
110,000110.png,-0.363423,-1.233715,3.411124,-6.081,19.781,0.000,-6.081,19.884,0.470
